Sensor_ID,Timestamp,Raw_Value,Auth_Signature
Sensor_Delta,1773037624,23.59,77d9e3c00429bb74942cf8d509c699e4f65302311d958fae7387892657b126f7
Sensor_Gamma,1773037625,22.46,4776a786bfdf5c7c895dee90726a5b5a23855fa52e3984bbc124dc7affbc5af3
Sensor_Alpha,1773037626,21.1,1520962fcd524df88070bf1fdb500f263e7c7acdc3e8e6b50ecd134e2829ac1f
Sensor_Alpha,1773037627,19.78,7eb3a428ac2908217eb510c563508125d1fa5b84b4c18ba91346ab027ad40bd0
Sensor_Delta,1773037628,20.68,fe21c6a571d3e92f0440ac3822c5dc39b7c7c086f717b0d6afb87dde9253f9c4
Sensor_Delta,1773037629,20.17,a2329880a9c7bf348255273948e7d0b6b25b9f08fa942ddabd9d40e09739d9de
Sensor_Delta,1773037631,18.82,f1ab645ced2e714d3557290d70eff2e9521bfac1d540ce18302564095a9387d7
Sensor_Alpha,1773037634,18.67,a7c4b9adaa831f8eb9c5c3ce8b94cc606ee04ac453c15a93f0c1ded8028cd6f9
Sensor_Delta,1773037637,17.99,7ab862842413f80db6795ce3a8b494776b0fa1231e84348126f19deef09637b1
Sensor_Alpha,1773037639,18.7,018d4723a970302bf83807f2a6802faae2b9bc2805a3eba6db6bc30551a01bbb
Sensor_Beta,1773037640,18.07,297039cbca9fd6b6bc8347835bcefc50dd78b6ef06e2df381aee54b326deea9e
Sensor_Beta,1773037643,17.22,a40441315ca5da0505bf445d4fae270c78093f4e2db453cebb3644cdbba0feca
Sensor_Delta,1773037644,16.81,deadbeef3026e5f0e4262d06a5ba662bdaed703685907fa5d308744e6ec58df3
Sensor_Delta,1773037647,17.19,67b48678634831af6e4ddecc8ad606f90ed7dc2073e4a4f329eb280730ec416f
Sensor_Gamma,1773037648,16.54,daabef9f9c26c7e2e0900734cd7c4083a901fe2aeeb32d67605ce6690bb6bd0b
Sensor_Gamma,1773037652,16.92,0d3fc28d01caeafb21abde2f5ee18a57561f71bd3607ba73fb66055892ed8de2
Sensor_Gamma,1773037655,15.45,1409cda1a86010a09af4983be661f215e2e2c06f71fa4c01c4b1c1cb03cbca96
Sensor_Alpha,1773037659,16.48,34de93f2405ad39c3e894a49883b4ba93f129c77691a19a640c0f7a12ea51b9f
Sensor_Gamma,1773037663,16.16,5715b06765842973339339c0b24997614cffe206319a81068c08f98ad81cbc12
Sensor_Beta,1773037664,17.58,11aae43bc9a722d04212bc4d70f1e6c9809dea11ca73a46c3812c2d3eb9001cc
Sensor_Delta,1773037665,17.99,7ab862842413f80db6795ce3a8b494776b0fa1231e84348126f19deef09637b1
Sensor_Delta,1773037667,18.55,92ae0c25c79c097816161709648fe018c191ee0069438db879024c0b53fab102
Sensor_Delta,1773037670,19.63,deadbeef00e2772df596823b4b79042c4470a5c7db51511eadfc8b769a4ee6f0
Sensor_Delta,1773037672,18.33,4413a267d3cb7ae37c11eb4b01085b68b34d801d9dd2250c132d22941b79b02e
Sensor_Alpha,1773037674,18.58,7784963576d414e4bb2cb925bf7779f503953913a3175306739f469d05d1e8c3
Sensor_Gamma,1773037676,19.19,d8093fb7d451681917034d0104f64760bc3cede8e2fb964e00a61a8eca44b014
Sensor_Gamma,1773037680,20.68,fe21c6a571d3e92f0440ac3822c5dc39b7c7c086f717b0d6afb87dde9253f9c4
Sensor_Beta,1773037681,21.68,44613fbb3482f82b42ad8324d3529a77796b8d4dbfd1e6ff11a28eede9e3334c
Sensor_Alpha,1773037684,22.42,c25bf3cfebbb79982ebc015bd35832dae01fed53161065deb6ac9f69d60dc5c8
Sensor_Delta,1773037687,22.41,8b5e71634503e7707e298eb13bf1b9a67463587b3c990b0f7811ad23c3205652
Sensor_Beta,1773037690,22.85,8000f68930ad50eeedacf8ccb295cd5dcdd4c297905f0a49b2826fdf8626109c
Sensor_Alpha,1773037694,23.02,665cb0f47a0b40bd10fb933b362408b1741adc1bc33c574ccfb0ff17885ca44a
Sensor_Gamma,1773037698,23.84,a97ced60bf4c6d7a01005036526fb8e1b056e59ff243861f129276f49c42ceb1
Sensor_Gamma,1773037700,24.81,6a65b1ed0d3fa5ee12708dce973383c34985de7f0163bea1efc493fde91a1f29
Sensor_Alpha,1773037702,24.4,94a76f900417a1efe285bbded74ff33a6b323783bedcaf8d4f0779d4afaf42f7
Sensor_Gamma,1773037704,25.8,eaf138112c25c072b3fa294bf09abdd90ee1a9799dca51273fce446663725d51
Sensor_Delta,1773037706,26.54,d325edce89ed3a7e5762b057d1ea437388cfc74c7179a3a6254a961da51f08eb
Sensor_Beta,1773037707,25.27,e915e9d6125c5becbdbf2a80d137a7a952c4b98e47cbb8c12bf184a2eed9455b
Sensor_Gamma,1773037710,25.28,109f2ab4024745d111bec8655cc8ad4eddee807335dc23eb980b6d304b796057
Sensor_Alpha,1773037713,25.12,a471dcc205c268cd04cab7e098fd57bc89628b9135065a63279156fd72598a60
Sensor_Gamma,1773037714,25.21,c4e3aa92ebfd890a2d197d2cd8ae1c5fc410127c3572a2999e356bfc4eab3124
Sensor_Beta,1773037715,25.06,b3daaac2f7d25e18f52eb71e0bb99ac0676e35d5d7843e090366e6a0514133cc
Sensor_Beta,1773037717,25.09,b9559249f8a365a6e529e39af797c8c3a4641facc9234ec24dd0929b5981a54d
Sensor_Gamma,1773037718,24.79,262e8ae8e23c6f2896208457fe91ec81f6a2b4cca7e7e2543891db399dfa6f9e
